task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
Water_n_5000_run_1,2026-03-11T11:03:01,Neutron_Transport_Audit,run_1,2.952019999967888,3.209134264281144e-06,1.0870883843313887e-06,6.461074413220428,0.0,10.0,5.32104044700932e-06,0.0,8.186042222142635e-06,1.3507082669151955e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,11.2,0,84.5,12.496479034423828,N
Water_n_5000_run_2,2026-03-11T11:03:03,Neutron_Transport_Audit,run_2,1.9272012999281287,2.487372461739962e-06,1.2906423150703866e-06,7.993659632335653,0.0,10.0,5.129831781152581e-06,0.0,5.3393922222312536e-06,1.0469224003383836e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,22.0,0,84.7,12.5341796875,N
Water_n_5000_run_3,2026-03-11T11:03:05,Neutron_Transport_Audit,run_3,1.8534725001081824,2.4243596348483763e-06,1.3079736493250468e-06,8.55902771904516,0.0,10.0,5.042126779902655e-06,0.0,5.161879444494845e-06,1.0204006224397495e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,66.8,0,84.9,12.561161041259766,N
Water_n_5000_run_4,2026-03-11T11:03:07,Neutron_Transport_Audit,run_4,1.8888374001253396,2.413539727541716e-06,1.277770862943943e-06,8.747231310921393,0.0,10.0,4.920601618845857e-06,0.0,5.237864166782753e-06,1.0158465785628614e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,6.6,0,84.9,12.563346862792969,N
Water_n_5000_run_5,2026-03-11T11:03:09,Neutron_Transport_Audit,run_5,1.8499790001660585,2.375284035104405e-06,1.2839157326215697e-06,8.87724140391125,0.0,10.0,4.866764524092577e-06,0.0,5.130685000525168e-06,9.997449524617744e-06,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,6.6,0,85.0,12.579261779785156,N
Water_n_10000_run_1,2026-03-11T11:03:11,Neutron_Transport_Audit,run_1,2.6049394998699427,3.3363665148236957e-06,1.2807723539980905e-06,8.96610566229741,0.0,10.0,6.836348954088119e-06,0.0,7.2062477773417606e-06,1.4042596731429886e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,32.95,0,85.05,12.58349609375,N
Water_n_10000_run_2,2026-03-11T11:03:14,Neutron_Transport_Audit,run_2,2.5475814000237733,3.235958830306458e-06,1.2701596567908964e-06,8.992560506050523,0.0,10.0,6.529083123326789e-06,0.0,7.090902777983705e-06,1.3619985901310494e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,10.95,0,85.05,12.579866409301758,N
Water_n_10000_run_3,2026-03-11T11:03:16,Neutron_Transport_Audit,run_3,2.6283028998877853,3.346397096011714e-06,1.2732219758241145e-06,9.026364600495674,0.0,10.0,6.793477714467072e-06,0.0,7.291337222300677e-06,1.408481493676775e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,22.15,0,85.35,12.62559700012207,N
Water_n_10000_run_4,2026-03-11T11:03:19,Neutron_Transport_Audit,run_4,2.3529534998815507,2.9769213113032727e-06,1.265178209748886e-06,9.033707689404578,0.0,10.0,5.987043232680953e-06,0.0,6.5426669445716655e-06,1.2529710177252619e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,2.9,0,85.5,12.65530014038086,N
Water_n_10000_run_5,2026-03-11T11:03:21,Neutron_Transport_Audit,run_5,2.447438599774614,3.1402628179760686e-06,1.2830310214714918e-06,9.059343047096357,0.0,10.0,6.386179592986949e-06,0.0,6.8310266664613935e-06,1.3217206259448329e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,11.35,0,85.6,12.661249160766602,N
Water_n_15000_run_1,2026-03-11T11:03:24,Neutron_Transport_Audit,run_1,2.975965299876407,4.033153004646615e-06,1.3552021456284284e-06,9.189043295802046,0.0,10.0,8.71131224469951e-06,0.0,8.264023333322254e-06,1.6975335578021784e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,2.8,0,85.6,12.663614273071289,N
Water_n_15000_run_2,2026-03-11T11:03:27,Neutron_Transport_Audit,run_2,2.979546899907291,3.999435487727721e-06,1.3422990604617137e-06,9.280671343279087,0.0,10.0,8.557311100106362e-06,0.0,8.276109166520956e-06,1.6833420266627332e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,0.0,0,85.6,12.66722297668457,N
Water_n_15000_run_3,2026-03-11T11:03:30,Neutron_Transport_Audit,run_3,2.9646765999495983,3.965778425576182e-06,1.3376581160579998e-06,9.352984340220523,0.0,10.0,8.459559684170545e-06,0.0,8.23219972209902e-06,1.6691759406269578e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,11.6,0,85.6,12.668817520141602,N
Water_n_15000_run_4,2026-03-11T11:03:33,Neutron_Transport_Audit,run_4,2.882422599941492,3.936205862778129e-06,1.3655840859287535e-06,9.445825125213684,0.0,10.0,8.568908606791683e-06,0.0,7.998381388865205e-06,1.6567289995656902e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,32.0,0,85.65,12.67538833618164,N
Water_n_15000_run_5,2026-03-11T11:03:36,Neutron_Transport_Audit,run_5,3.0595215999055654,3.633698801277725e-06,1.1876598260687912e-06,9.346061165534921,0.0,10.0,6.796065125650878e-06,0.0,8.497988055589505e-06,1.5294053181240397e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,42.43333333333334,0,85.66666666666667,12.673508961995443,N
