task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
Water_n_5000_run_1,2026-03-11T13:03:58,Neutron_Transport_Audit,run_1,5.937424199888483,4.279848088167557e-06,7.207471220218709e-07,0.9230436491586427,0.0,10.0,1.525980119610243e-06,0.0,1.6487682500155644e-05,1.8013662619765886e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,4.9,0,87.88,13.002967834472656,N
Water_n_5000_run_2,2026-03-11T13:04:04,Neutron_Transport_Audit,run_2,5.970493500120938,4.311557598247775e-06,7.22140351229206e-07,0.9311769073333227,0.0,10.0,1.561844944203069e-06,0.0,1.6585281388446074e-05,1.8147126332649136e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,8.78,0,87.96000000000001,13.019358062744141,N
Water_n_5000_run_3,2026-03-11T13:04:10,Neutron_Transport_Audit,run_3,5.830072400160134,4.2085917173922095e-06,7.218721848977008e-07,0.9332633092323657,0.0,10.0,1.5218715177131769e-06,0.0,1.6191876666723855e-05,1.771374818443703e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,1.3,0,88.0,13.016547393798827,N
Water_n_5000_run_4,2026-03-11T13:04:16,Neutron_Transport_Audit,run_4,5.938508300110698,4.283484721139103e-06,7.213015828112739e-07,0.9337418358459504,0.0,10.0,1.5458309673349353e-06,0.0,1.64831380553854e-05,1.802896902272034e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,8.84,0,87.97999999999999,13.013751220703124,N
Water_n_5000_run_5,2026-03-11T13:04:22,Neutron_Transport_Audit,run_5,6.240662699798122,4.508628373886434e-06,7.224549169636083e-07,0.93568027567924,0.0,10.0,1.6395585782704583e-06,0.0,1.733702861173596e-05,1.897658719000642e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,3.35,0,87.96666666666665,13.013837814331055,N
Water_n_10000_run_1,2026-03-11T13:04:31,Neutron_Transport_Audit,run_1,8.7571363998577,6.3140561485064825e-06,7.210182967790765e-07,0.9339873702944033,0.0,10.0,2.254884904929449e-06,0.0,2.4320655833515856e-05,2.6575540738445308e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,5.5375,0,88.5375,13.098539352416992,N
Water_n_10000_run_2,2026-03-11T13:04:39,Neutron_Transport_Audit,run_2,8.258531900122762,5.963937489393313e-06,7.221485886111445e-07,0.9350926024211438,0.0,10.0,2.164112190031023e-06,0.0,2.293779694462298e-05,2.510190913465401e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,9.15,0,88.33749999999999,13.070274829864502,N
Water_n_10000_run_3,2026-03-11T13:04:47,Neutron_Transport_Audit,run_3,8.251634399872273,5.957173761050718e-06,7.219305438691886e-07,0.935374865126735,0.0,10.0,2.152336224492291e-06,0.0,2.292110472206131e-05,2.507344094655357e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,7.3500000000000005,0,88.18750000000001,13.050665378570557,N
Water_n_10000_run_4,2026-03-11T13:04:56,Neutron_Transport_Audit,run_4,8.593386000022292,6.193899256001443e-06,7.207735513142107e-07,0.9355993489661328,0.0,10.0,2.239171219968547e-06,0.0,2.3830635277813096e-05,2.6069806497781655e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,3.9125,0,88.08750000000002,13.031810283660889,N
Water_n_10000_run_5,2026-03-11T13:05:08,Neutron_Transport_Audit,run_5,11.548268899787217,8.328236523826084e-06,7.211644420736363e-07,0.9350980904081766,0.0,10.0,2.989088628399834e-06,0.0,3.206403472253845e-05,3.50531233509383e-05,0.0,United Kingdom,GBR,england,,,Windows-10-10.0.26200-SP0,3.11.1,3.2.3,16,AMD Ryzen 7 PRO 5875U with Radeon Graphics,-2.2305,53.4702,14.7952880859375,process,7.827272727272727,0,87.50909090909092,12.94784892689098,N
